age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
59,management,married,tertiary,no,5314,no,no,cellular,20,nov,116,2,-1,0,unknown,no
37,management,divorced,secondary,no,1448,yes,no,cellular,11,jul,71,2,-1,0,unknown,no
24,blue-collar,single,secondary,no,8594,yes,no,unknown,28,may,181,1,-1,0,unknown,no
32,management,married,tertiary,no,1683,yes,yes,cellular,20,apr,72,2,-1,0,unknown,no
37,management,married,tertiary,no,11391,yes,no,cellular,21,nov,103,1,-1,0,unknown,no
35,blue-collar,married,secondary,no,6411,yes,yes,cellular,30,jan,144,1,266,2,failure,no
40,services,married,unknown,no,88,yes,no,unknown,9,jun,78,2,-1,0,unknown,no
41,blue-collar,single,unknown,no,961,yes,no,unknown,29,may,117,1,-1,0,unknown,no
35,management,married,tertiary,no,106,no,yes,cellular,11,aug,588,2,-1,0,unknown,no
60,retired,married,secondary,no,2077,yes,no,unknown,14,may,163,1,-1,0,unknown,no
35,management,single,unknown,no,342,no,yes,cellular,2,feb,427,4,-1,0,unknown,no
47,unknown,married,unknown,no,301,no,no,cellular,5,aug,111,1,-1,0,unknown,no
57,retired,married,secondary,no,211,yes,no,unknown,5,may,248,2,-1,0,unknown,no
28,admin.,married,secondary,no,358,no,no,cellular,4,feb,220,1,-1,0,unknown,no
35,management,single,tertiary,no,916,yes,no,cellular,14,may,460,2,-1,0,unknown,yes
57,technician,married,secondary,no,3071,yes,yes,cellular,7,may,63,3,-1,0,unknown,no
26,student,single,secondary,no,2469,no,no,cellular,2,feb,406,1,-1,0,unknown,no
35,blue-collar,married,primary,no,-312,yes,yes,telephone,29,jul,38,3,-1,0,unknown,no
31,management,single,tertiary,no,0,no,no,cellular,28,aug,35,31,-1,0,unknown,no
24,blue-collar,married,secondary,no,142,yes,yes,unknown,16,may,300,1,-1,0,unknown,no
29,blue-collar,single,secondary,no,-138,yes,yes,unknown,8,may,271,5,-1,0,unknown,no
76,retired,married,primary,no,3324,no,no,cellular,13,aug,227,2,192,1,failure,yes
42,blue-collar,married,primary,no,-119,yes,no,cellular,22,jul,167,3,-1,0,unknown,no
41,admin.,married,secondary,no,8238,yes,yes,unknown,30,may,124,4,-1,0,unknown,no
40,services,married,primary,no,352,yes,no,cellular,10,jul,258,1,-1,0,unknown,no
29,blue-collar,married,primary,yes,-43,yes,no,unknown,9,may,484,1,-1,0,unknown,no
58,admin.,married,primary,no,549,no,no,unknown,5,jun,82,2,-1,0,unknown,no
41,admin.,married,secondary,no,158,yes,no,cellular,1,oct,250,2,120,4,other,no
43,management,divorced,tertiary,no,2367,no,no,cellular,22,mar,173,2,181,4,success,yes
35,admin.,divorced,secondary,no,183,no,yes,cellular,6,feb,12,7,217,1,failure,no
39,housemaid,married,primary,no,4904,yes,no,unknown,20,may,101,1,-1,0,unknown,no
45,technician,single,secondary,no,4367,yes,no,cellular,27,feb,71,1,-1,0,unknown,no
40,technician,single,secondary,no,153,no,no,cellular,7,aug,125,2,-1,0,unknown,no
30,technician,single,secondary,no,518,yes,no,unknown,2,jun,21,1,-1,0,unknown,no
35,admin.,divorced,secondary,no,3636,no,yes,cellular,21,nov,808,2,-1,0,unknown,yes
37,management,married,tertiary,no,897,no,no,unknown,20,may,182,1,-1,0,unknown,no
28,technician,single,secondary,no,216,yes,no,unknown,13,may,66,1,-1,0,unknown,no
28,management,single,tertiary,no,725,no,no,cellular,4,feb,137,2,-1,0,unknown,no
37,admin.,married,secondary,no,1967,no,no,telephone,27,oct,376,1,-1,0,unknown,yes
50,admin.,single,secondary,no,330,yes,no,unknown,28,may,24,1,-1,0,unknown,no
59,admin.,married,secondary,no,1455,yes,no,cellular,28,jan,222,2,191,1,failure,no
52,blue-collar,divorced,primary,no,2800,no,no,unknown,19,jun,149,1,-1,0,unknown,no
29,technician,single,secondary,no,1331,yes,yes,cellular,14,may,246,1,-1,0,unknown,no
53,blue-collar,married,secondary,no,483,yes,no,cellular,3,feb,288,3,-1,0,unknown,no
33,blue-collar,single,secondary,no,164,yes,no,unknown,14,may,461,1,-1,0,unknown,no
31,management,married,tertiary,no,0,no,no,cellular,11,aug,84,2,-1,0,unknown,no
30,management,single,tertiary,no,234,yes,no,unknown,3,jun,242,2,-1,0,unknown,no
36,technician,married,secondary,no,287,no,no,cellular,22,aug,381,6,-1,0,unknown,no
51,entrepreneur,married,tertiary,no,209,no,no,cellular,17,nov,130,1,111,2,failure,no
38,technician,married,tertiary,no,51,no,no,telephone,27,aug,39,9,-1,0,unknown,no
43,technician,divorced,secondary,no,1413,yes,no,telephone,28,jul,75,3,-1,0,unknown,no
27,technician,single,secondary,no,2731,no,no,telephone,16,jun,30,1,-1,0,unknown,no
35,management,divorced,tertiary,no,2287,no,no,cellular,18,nov,130,3,-1,0,unknown,no
31,blue-collar,single,secondary,no,33,yes,no,unknown,15,may,214,4,-1,0,unknown,no
30,student,single,secondary,no,5836,no,no,cellular,27,apr,165,2,-1,0,unknown,no
32,entrepreneur,married,secondary,no,-25,yes,no,cellular,7,may,243,2,-1,0,unknown,no
53,housemaid,married,secondary,no,559,yes,no,telephone,25,jul,182,1,-1,0,unknown,no
33,blue-collar,married,primary,no,767,yes,no,unknown,9,may,296,3,-1,0,unknown,no
29,admin.,single,secondary,no,130,no,no,unknown,4,jun,134,2,-1,0,unknown,no
27,admin.,single,secondary,no,295,yes,no,unknown,3,jun,148,13,-1,0,unknown,no
32,blue-collar,married,secondary,no,1005,no,no,cellular,12,may,215,1,-1,0,unknown,no
47,management,married,tertiary,no,999,no,no,cellular,16,nov,111,1,94,1,other,no
30,technician,married,secondary,no,0,yes,no,cellular,14,may,47,3,-1,0,unknown,no
42,admin.,divorced,secondary,no,23,no,yes,unknown,27,jun,397,1,-1,0,unknown,no
34,admin.,single,secondary,no,303,no,no,cellular,4,jun,282,3,126,3,failure,yes
30,blue-collar,married,primary,no,595,yes,no,unknown,23,may,231,1,-1,0,unknown,no
32,blue-collar,single,primary,no,18,yes,yes,cellular,6,may,305,1,-1,0,unknown,no
38,blue-collar,married,primary,no,0,yes,no,cellular,21,nov,101,1,-1,0,unknown,no
39,management,divorced,secondary,no,132,yes,no,cellular,9,feb,170,2,-1,0,unknown,no
38,blue-collar,single,tertiary,no,263,yes,no,cellular,14,jul,84,6,-1,0,unknown,no
42,management,married,primary,no,-679,yes,yes,cellular,6,may,159,1,343,2,failure,no
51,admin.,married,secondary,no,1699,no,no,unknown,5,jun,153,2,-1,0,unknown,no
33,blue-collar,single,secondary,no,706,yes,no,cellular,7,apr,329,1,322,1,failure,no
32,self-employed,single,secondary,no,356,yes,no,cellular,27,aug,511,6,-1,0,unknown,no
48,technician,married,secondary,no,147,no,no,unknown,6,may,142,3,-1,0,unknown,no
77,retired,married,tertiary,no,1047,no,no,cellular,30,jun,108,5,-1,0,unknown,no
42,unemployed,married,secondary,no,0,yes,no,unknown,20,jun,158,1,-1,0,unknown,no
30,services,single,secondary,no,334,no,no,cellular,29,jan,389,2,-1,0,unknown,no
51,retired,married,secondary,no,2127,yes,no,unknown,5,may,172,1,-1,0,unknown,no
41,admin.,married,primary,no,0,yes,no,cellular,6,may,184,2,323,1,failure,no
36,management,single,tertiary,no,548,yes,yes,unknown,30,may,618,3,-1,0,unknown,no
24,student,single,tertiary,no,603,yes,no,cellular,12,may,157,5,-1,0,unknown,no
55,unemployed,married,tertiary,no,4809,yes,no,cellular,21,nov,223,2,186,3,other,no
39,blue-collar,married,secondary,no,41,yes,no,cellular,13,may,135,3,-1,0,unknown,no
53,management,divorced,tertiary,no,3370,no,no,cellular,21,oct,180,1,334,3,other,no
50,entrepreneur,married,secondary,no,7907,yes,yes,cellular,22,aug,363,2,-1,0,unknown,no
32,blue-collar,married,secondary,no,1879,no,no,cellular,6,feb,591,8,-1,0,unknown,yes
45,technician,single,secondary,no,21,yes,no,cellular,25,aug,72,3,-1,0,unknown,no
34,entrepreneur,single,tertiary,no,2945,yes,no,cellular,17,apr,266,1,-1,0,unknown,no
36,management,single,tertiary,no,3850,yes,no,cellular,4,may,8,4,-1,0,unknown,no
35,unemployed,single,secondary,no,0,no,no,cellular,31,jul,299,3,-1,0,unknown,no
60,self-employed,married,secondary,no,18,yes,yes,cellular,12,may,399,4,343,1,other,no
31,management,married,tertiary,no,1010,yes,no,cellular,15,may,385,3,364,9,other,no
44,blue-collar,married,secondary,no,1025,yes,no,unknown,18,jun,200,1,-1,0,unknown,no
32,management,married,tertiary,no,282,no,no,cellular,22,aug,92,2,-1,0,unknown,no
30,housemaid,single,secondary,no,358,yes,no,cellular,21,nov,45,2,-1,0,unknown,no
48,housemaid,married,primary,no,469,no,no,cellular,14,aug,103,2,-1,0,unknown,no
34,technician,married,secondary,no,1,yes,no,unknown,24,jun,165,5,-1,0,unknown,no
58,retired,married,primary,no,5506,no,no,telephone,29,jul,81,4,-1,0,unknown,no
56,admin.,single,secondary,no,1854,yes,no,telephone,7,may,45,1,342,2,failure,no
54,admin.,married,secondary,no,5084,yes,yes,cellular,8,jul,69,1,-1,0,unknown,no
39,blue-collar,married,secondary,yes,-16,no,no,unknown,29,may,285,2,-1,0,unknown,no
55,technician,married,tertiary,no,0,no,no,cellular,17,nov,501,1,-1,0,unknown,no
32,services,married,secondary,no,24,yes,yes,cellular,12,may,185,1,-1,0,unknown,no
52,technician,divorced,tertiary,no,0,no,no,cellular,18,jul,454,1,-1,0,unknown,no
37,technician,single,secondary,no,428,yes,no,unknown,30,may,107,1,-1,0,unknown,no
36,blue-collar,married,unknown,no,79,yes,no,unknown,19,may,201,14,-1,0,unknown,no
25,management,single,tertiary,no,1348,yes,no,unknown,8,may,109,1,-1,0,unknown,no
49,unknown,married,secondary,no,4846,no,no,unknown,20,jun,638,9,-1,0,unknown,no
42,housemaid,divorced,secondary,no,3253,no,no,unknown,20,jun,18,7,-1,0,unknown,no
36,services,married,tertiary,no,0,yes,no,cellular,8,may,52,1,-1,0,unknown,no
30,admin.,married,secondary,no,4,no,no,unknown,7,may,172,8,-1,0,unknown,no
34,management,single,unknown,no,6013,yes,no,cellular,18,may,612,1,-1,0,unknown,yes
49,blue-collar,married,secondary,no,16,yes,no,unknown,16,may,193,11,-1,0,unknown,no
54,technician,single,tertiary,no,3233,no,no,unknown,20,jun,17,3,-1,0,unknown,no
35,management,married,secondary,no,724,yes,no,cellular,18,oct,102,3,96,3,success,no
32,services,married,secondary,no,3268,no,no,cellular,15,may,147,1,-1,0,unknown,no
34,blue-collar,divorced,secondary,no,368,no,yes,cellular,7,jul,2201,1,-1,0,unknown,no
25,blue-collar,single,secondary,no,335,yes,no,unknown,13,may,164,1,-1,0,unknown,no
35,technician,married,secondary,no,513,yes,no,cellular,18,jul,377,1,-1,0,unknown,no
59,technician,divorced,secondary,no,2595,yes,no,cellular,29,aug,398,2,-1,0,unknown,no
37,management,married,tertiary,no,255,no,no,cellular,24,feb,562,2,183,10,success,yes
30,student,single,tertiary,no,3115,no,no,telephone,13,aug,217,2,-1,0,unknown,no
27,management,single,secondary,no,843,no,no,cellular,8,jan,187,1,-1,0,unknown,yes
27,student,single,secondary,no,833,no,no,telephone,25,jun,359,5,-1,0,unknown,no
32,management,single,tertiary,no,718,yes,no,cellular,29,dec,155,1,197,1,success,yes
35,blue-collar,married,secondary,no,444,yes,no,cellular,15,apr,244,3,-1,0,unknown,no
57,admin.,married,secondary,no,169,no,no,cellular,3,feb,369,1,-1,0,unknown,yes
44,management,divorced,tertiary,no,476,yes,yes,unknown,26,may,127,2,-1,0,unknown,no
31,services,single,secondary,no,516,yes,no,unknown,13,may,271,2,-1,0,unknown,no
42,blue-collar,married,secondary,no,3743,yes,no,unknown,14,may,136,1,-1,0,unknown,no
48,blue-collar,married,primary,no,329,no,yes,telephone,23,jul,85,6,-1,0,unknown,no
42,services,divorced,secondary,no,266,yes,yes,cellular,19,nov,97,1,-1,0,unknown,no
41,blue-collar,married,secondary,no,2852,yes,no,unknown,20,may,125,3,-1,0,unknown,no
79,housemaid,married,primary,no,0,no,no,cellular,18,aug,90,1,-1,0,unknown,no
30,services,married,secondary,no,0,yes,yes,unknown,3,jun,185,1,-1,0,unknown,no
36,technician,married,tertiary,no,3043,yes,no,cellular,9,jul,254,1,-1,0,unknown,no
29,management,married,tertiary,no,30,no,no,cellular,30,apr,139,1,-1,0,unknown,no
38,blue-collar,married,primary,no,498,yes,no,unknown,29,may,107,2,-1,0,unknown,no
36,technician,single,secondary,no,75,yes,no,cellular,12,may,485,2,342,4,other,no
26,self-employed,married,tertiary,no,10005,yes,no,cellular,17,jul,84,2,-1,0,unknown,no
32,self-employed,single,secondary,no,4,yes,no,unknown,23,may,233,2,-1,0,unknown,no
51,management,married,tertiary,no,257,yes,no,cellular,8,may,129,2,-1,0,unknown,no
50,blue-collar,married,secondary,no,6288,no,no,cellular,28,aug,20,14,-1,0,unknown,no
44,management,single,tertiary,no,3355,yes,no,unknown,12,jun,312,2,-1,0,unknown,no
24,student,single,secondary,no,867,no,no,cellular,2,aug,135,7,108,8,other,no
50,self-employed,married,secondary,no,358,yes,yes,cellular,15,may,315,3,367,3,failure,no
33,admin.,single,secondary,no,572,yes,no,cellular,30,jan,1296,2,-1,0,unknown,no
53,services,divorced,primary,no,-291,yes,yes,unknown,7,may,591,1,-1,0,unknown,yes
27,management,single,secondary,no,967,yes,no,unknown,21,may,162,1,-1,0,unknown,no
57,entrepreneur,married,unknown,no,618,yes,no,unknown,8,may,10,7,-1,0,unknown,no
62,blue-collar,married,secondary,no,180,no,no,cellular,14,jan,183,1,90,4,other,yes
50,management,married,tertiary,no,0,yes,no,unknown,6,jun,243,7,-1,0,unknown,no
31,management,single,secondary,yes,0,no,no,cellular,11,feb,112,4,85,2,failure,no
40,technician,divorced,secondary,no,2394,no,no,unknown,9,jun,75,4,-1,0,unknown,no
61,management,married,tertiary,no,267,no,no,cellular,20,apr,190,1,-1,0,unknown,yes
31,technician,married,tertiary,no,79,yes,no,cellular,20,aug,78,12,-1,0,unknown,no
30,services,single,secondary,no,-172,yes,yes,cellular,17,apr,282,4,329,2,other,no
30,services,single,secondary,no,268,no,no,unknown,24,jul,86,1,-1,0,unknown,no
49,services,married,secondary,no,153,no,no,cellular,6,aug,123,4,-1,0,unknown,no
52,blue-collar,married,primary,no,1401,no,no,cellular,26,aug,77,8,-1,0,unknown,no
22,student,single,secondary,no,466,yes,no,cellular,20,apr,269,1,-1,0,unknown,no
44,entrepreneur,married,secondary,no,-165,yes,yes,unknown,4,jun,184,2,-1,0,unknown,no
36,blue-collar,single,secondary,no,5396,yes,no,cellular,9,apr,490,2,-1,0,unknown,no
62,management,married,tertiary,no,7458,no,no,cellular,30,oct,212,2,-1,0,unknown,yes
59,entrepreneur,married,primary,no,0,no,no,telephone,19,nov,207,2,153,1,failure,no
59,blue-collar,married,primary,no,699,no,no,cellular,28,jan,98,1,154,6,failure,no
71,retired,divorced,secondary,no,0,no,no,cellular,26,feb,771,1,171,1,success,yes
45,admin.,married,secondary,no,-173,yes,no,unknown,27,may,315,2,-1,0,unknown,no
50,technician,married,secondary,no,0,yes,no,unknown,2,jun,171,2,-1,0,unknown,no
46,management,married,tertiary,no,242,no,no,cellular,4,aug,120,2,96,1,success,yes
29,self-employed,single,tertiary,no,1579,no,no,cellular,13,oct,190,1,92,5,success,yes
60,technician,married,secondary,no,955,no,no,cellular,18,aug,37,3,-1,0,unknown,no
40,entrepreneur,married,tertiary,no,121,yes,no,cellular,22,jul,80,1,-1,0,unknown,no
39,management,married,tertiary,no,2939,no,no,cellular,15,jan,348,2,-1,0,unknown,yes
30,services,married,secondary,yes,-846,yes,no,unknown,13,may,117,1,-1,0,unknown,no
43,retired,single,secondary,no,53,no,no,telephone,5,feb,305,4,-1,0,unknown,no
30,admin.,married,tertiary,no,631,no,no,cellular,13,aug,293,3,-1,0,unknown,no
56,retired,married,secondary,no,102,yes,no,telephone,11,may,267,1,369,1,failure,no
61,retired,married,primary,no,8729,no,no,cellular,30,oct,480,1,-1,0,unknown,yes
58,unemployed,divorced,primary,no,414,no,no,cellular,29,jan,267,1,-1,0,unknown,no
42,management,married,tertiary,no,-323,yes,no,cellular,7,aug,135,2,-1,0,unknown,no
44,services,married,primary,no,-79,yes,no,unknown,7,may,179,2,-1,0,unknown,no
44,unemployed,married,tertiary,no,1151,yes,no,unknown,5,jun,127,2,-1,0,unknown,no
59,retired,married,primary,no,363,no,no,cellular,30,apr,400,1,-1,0,unknown,yes
35,technician,single,secondary,no,-229,yes,no,unknown,27,may,100,2,-1,0,unknown,no
